firstName,lastName,email,State,City,Street,zipCode,country
James,Butt,jbutt@gmail.com,LA,New Orleans,6649 N Blue Gum St,70116,USA
Josephine,Darakjy,josephine_darakjy@darakjy.org,MI,Brighton,4 B Blue Ridge Blvd,48116,USA
Art,Venere,art@venere.org,NJ,Bridgeport,8 W Cerritos Ave #54,8014,USA
Lenna,Paprocki,lpaprocki@hotmail.com,AK,Anchorage,639 Main St,99501,USA
Donette,Foller,donette.foller@cox.net,OH,Hamilton,34 Center St,45011,USA
Simona,Morasca,simona@morasca.com,OH,Ashland,3 Mcauley Dr,44805,USA
Mitsue,Tollner,mitsue_tollner@yahoo.com,IL,Chicago,7 Eads St,60632,USA
Leota,Dilliard,leota@hotmail.com,CA,San Jose,7 W Jackson Blvd,95111,USA
Sage,Wieser,sage_wieser@cox.net,SD,Sioux Falls,5 Boston Ave #88,57105,USA
Kris,Marrier,kris@gmail.com,MD,Baltimore,228 Runamuck Pl #2808,21224,USA
